clade,organism_name
2695,Corynebacterium camporealensis 
2696,Corynebacterium ureicelerivorans 
2697,Corynebacterium imitans 
2702,Corynebacterium kroppenstedtii DSM 44385 
2703,Corynebacterium variabile DSM 44702 
2704,Corynebacterium terpenotabidum Y-11 
2706,Corynebacterium glyciniphilum AJ 3170 
2709,Corynebacterium falsenii DSM 44353 
2710,Corynebacterium jeikeium K411 
2712,Corynebacterium resistens DSM 45100 
2714,Corynebacterium urealyticum DSM 7109 
2715,Corynebacterium urealyticum DSM 7111 
2722,Tsukamurella paurometabola DSM 20162 
2724,Amycolicicoccus subflavus DQS3-9A1 
2725,Mycobacterium sinense 
2726,Mycobacterium leprae Br4923
2727,Mycobacterium haemophilum DSM 44634 
2728,@GCF 000157895.3 Mycobacterium kansasii ATCC 12478 
2729,Mycobacterium avium subsp. paratuberculosis K-10 
2730,Mycobacterium yongonense 05-1390 
2731,Mycobacterium intracellulare MOTT-64 
2737,Mycobacterium tuberculosis 
2738,Mycobacterium tuberculosis F11 
2740,Mycobacterium bovis BCG str. Pasteur 1173P2 
2741,Mycobacterium canettii CIPT 140010059 
2742,Mycobacterium tuberculosis 
2743,Mycobacterium tuberculosis KZN 605 
2748,Mycobacterium bovis BCG str. Tokyo 172 
2751,Mycobacterium liflandii 128FXT 
2752,Mycobacterium marinum M 
2756,Mycobacterium phlei 
2757,Mycobacterium smegmatis str. MC2 155 
2758,Mycobacterium immunogenum 
2759,Mycobacterium abscessus
2760,Mycobacterium chelonae CCUG 47445 
2761,Mycobacterium sp. QIA-37 
2764,Mycobacterium abscessus subsp. abscessus
2765,Mycobacterium abscessus subsp. bolletii str. GO 06 
2769,@GCF 000317305.3 Mycobacterium neoaurum VKM Ac-1815D 
2771,Mycobacterium sp. EPa45 
2772,Mycobacterium fortuitum 
2774,Mycobacterium gilvum PYR-GCK 
2775,Mycobacterium chubuense NBB4 
2779,Mycobacterium rhodesiae NBB3 
2781,Mycobacterium vanbaalenii PYR-1 
2783,Mycobacterium sp. MCS 
2785,Mycobacterium goodii 
2789,Mycobacterium sp. JS623 
2795,Rhodococcus aetherivorans 
2796,Rhodococcus pyridinivorans SB3094 
2800,Segniliparus rotundus DSM 44985 
2803,Stackebrandtia nassauensis DSM 44728 
2804,Thermomonospora curvata DSM 43183 
2805,Thermobifida fusca YX 
2806,Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111 
2807,Nocardiopsis alba ATCC BAA-2165 
2811,Streptosporangium roseum DSM 43021 
2814,Pimelobacter simplex 
2815,Nocardioides sp. JS614 
2817,Microlunatus phosphovorus NM-1
2818,Propionibacterium propionicum F0230a 
2819,Propionibacterium freudenreichii subsp. freudenreichii 
2820,Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 
2822,Propionibacterium acnes 
2823,Propionibacterium acnes HL096PA1 
2824,Propionibacterium acnes 
2826,Propionibacterium acnes SK137 
2828,Propionibacterium acnes ATCC 11828 
2829,Propionibacterium acnes hdn-1 
2830,Propionibacterium acnes TypeIA2 P.acn33 
2831,Propionibacterium acnes TypeIA2 P.acn31 
2835,Propionibacterium acnes KPA171202 
2839,Propionibacterium avidum 44067 
2841,Propionibacterium acidipropionici 
2842,Propionibacterium acidipropionici ATCC 4875 
2843,Propionibacterium acidipropionici 
2850,Kribbella flavida DSM 17836 
2854,Nakamurella multipartita DSM 44233 
2855,Blastococcus saxobsidens DD2 
2856,Geodermatophilus obscurus DSM 43160 
2858,Modestobacter marinus 
2860,Streptomyces cattleya NRRL 8057   DSM 46488 
2861,Streptomyces lydicus A02 
2862,Streptomyces albulus ZPM 
2863,Streptomyces sp. 769 
2864,Streptomyces albulus 
2868,Streptomyces vietnamensis 
2869,Streptomyces venezuelae 
2871,Streptomyces pristinaespiralis 
2872,Streptomyces sp. CFMR 7 
2874,Streptomyces globisporus C-1027 
2875,Streptomyces pratensis ATCC 33331 
2876,Streptomyces sp. SirexAA-E 
2877,Streptomyces fulvissimus DSM 40593 
2878,Streptomyces griseus subsp. griseus NBRC 13350
2884,Streptomyces sp. Mg1 
2885,Streptomyces sp. S10 2016  
2886,Streptomyces avermitilis MA-4680   NBRC 14893
2887,Streptomyces hygroscopicus subsp. jinggangensis 5008 
2888,Streptomyces hygroscopicus subsp. limoneus 
2890,Streptomyces scabiei 87.22 
2891,Streptomyces collinus Tu 365 
2892,Streptomyces sp. CdTB01 
2901,Kitasatospora setae KM-6054
2903,Streptomyces sp. RTd22 
2906,Streptomyces xiamenensis 
2907,Streptomyces cyaneogriseus subsp. noncyanogenus 
2908,Streptomyces reticuli
2909,Streptomyces glaucescens 
2910,Streptomyces albus 
2911,Streptomyces sp. 4F 
2912,Streptomyces ambofaciens ATCC 23877 
2913,Streptomyces ambofaciens 
2915,Streptomyces sp. CCM MD2014 
2916,Streptomyces lividans TK24 
2924,Streptomyces albus 
2925,Streptomyces albus J1074 
2929,Streptomyces sp. CNQ-509 
2931,Streptomyces bingchenggensis BCW-1 
2932,Streptomyces violaceusniger Tu 4113 
2937,Catenulispora acidiphila DSM 44928 
2940,Kineococcus radiotolerans SRS30216   ATCC BAA-149 
2941,Brachybacterium faecium DSM 4810 
2942,Sanguibacter keddieii DSM 10542 
2944,Luteipulveratus mongoliensis 
2945,Dermacoccus nishinomiyaensis 
2947,Kytococcus sedentarius DSM 20547 
2949,Intrasporangium calvum DSM 43043 
2952,Beutenbergia cavernae DSM 12333 
2953,Arcanobacterium haemolyticum DSM 20595 
2954,Trueperella pyogenes 
2955,Trueperella pyogenes 
2958,Actinotignum schaalii 
2960,Mobiluncus curtisii ATCC 43063 
2961,Actinomyces oris 
2962,Actinomyces sp. oral taxon 414 
2964,Actinomyces meyeri 
2968,Parascardovia denticolens DSM 10105   JCM 12538
2969,Scardovia inopinata JCM 12537
2971,Gardnerella vaginalis ATCC 14019 
2972,Gardnerella vaginalis 409-05 
2974,Bifidobacterium thermophilum RBL67 
2975,Bifidobacterium asteroides PRL2011 
2976,Bifidobacterium indicum LMG 11587   DSM 20214
2977,Bifidobacterium coryneforme 
2980,Bifidobacterium actinocoloniiforme DSM 22766 
2983,Bifidobacterium animalis subsp. animalis ATCC 25527 
2984,Bifidobacterium animalis subsp. lactis Bl-04 
2985,Bifidobacterium animalis subsp. lactis AD011 
2988,Bifidobacterium pseudolongum PV8-2 
2991,Bifidobacterium catenulatum DSM 16992   JCM 1194   LMG 11043
2992,Bifidobacterium pseudocatenulatum DSM 20438   JCM 1200   LMG 10505
2994,Bifidobacterium kashiwanohense PV20-2 
2995,Bifidobacterium angulatum 
2996,Bifidobacterium angulatum DSM 20098   JCM 7096
3000,Bifidobacterium dentium Bd1 
3001,Bifidobacterium adolescentis 
3002,Bifidobacterium adolescentis ATCC 15703
3003,Bifidobacterium adolescentis 
3007,Bifidobacterium kashiwanohense JCM 15439   DSM 21854
3010,Bifidobacterium scardovii JCM 12489   DSM 13734
3011,Bifidobacterium bifidum 
3012,Bifidobacterium bifidum S17 
3014,Bifidobacterium bifidum PRL2010 
3015,Bifidobacterium bifidum BGN4 
3020,Bifidobacterium longum subsp. longum 
3021,Bifidobacterium longum subsp. longum JCM 1217
3023,Bifidobacterium longum subsp. longum JDM301 
3025,Bifidobacterium longum subsp. infantis ATCC 15697   JCM 1222   DSM 20088 
3026,Bifidobacterium longum 
3027,Bifidobacterium longum subsp. infantis 157F
3028,Bifidobacterium longum 
3030,Bifidobacterium longum NCC2705 
3032,Bifidobacterium longum subsp. longum GT15 
3037,Bifidobacterium breve NCFB 2258 
3038,Bifidobacterium breve 689b 
3040,Bifidobacterium breve UCC2003 
3041,Bifidobacterium breve ACS-071-V-Sch8b 
3042,Bifidobacterium breve S27 
3045,Bifidobacterium breve 12L 
3046,Bifidobacterium breve JCM 7019 
3047,Bifidobacterium breve 
3049,Bifidobacterium breve JCM 7017 
3060,Jonesia denitrificans DSM 20603 
3063,Arthrobacter sp. IHBB 11108 
3064,Renibacterium salmoninarum ATCC 33209
3066,Arthrobacter sp. ERGS1 01 
3067,Arthrobacter sp. A3 
3068,Arthrobacter sp. PAMC 25486
3070,Arthrobacter alpinus 
3072,Arthrobacter alpinus 
3075,Pseudarthrobacter chlorophenolicus A6 
3076,Pseudarthrobacter phenanthrenivorans Sphe3 
3077,Arthrobacter sp. ATCC 21022 
3078,Paenarthrobacter aurescens TC1 
3080,Arthrobacter sp. FB24 
3082,Pseudarthrobacter sulfonivorans 
3088,Micrococcus luteus NCTC 2665 
3089,Glutamicibacter arilaitensis 
3090,Glutamicibacter arilaitensis Re117 
3092,Arthrobacter sp. YC-RL1 
3093,Arthrobacter sp. LS16 
3098,Kocuria rhizophila DC2201
3099,Kocuria palustris 
3100,Kocuria flava 
3103,Rothia dentocariosa ATCC 17931 
3104,Rothia mucilaginosa 
3105,Rothia mucilaginosa DY-18
3110,Brevibacterium linens 
3114,Rhodoluna lacicola 
3115,Tropheryma whipplei str. Twist 
3117,Microbacterium sp. No. 7 
3118,Microbacterium sp. PAMC 28756 
3119,Microbacterium sp. CGR1
3120,Microbacterium chocolatum 
3121,Microbacterium testaceum StLB037
3126,Clavibacter michiganensis 
3127,Clavibacter michiganensis subsp. sepedonicus
3128,Clavibacter michiganensis subsp. nebraskensis NCPPB 2581 
3129,Clavibacter michiganensis subsp. insidiosus 
3130,Clavibacter michiganensis subsp. michiganensis NCPPB 382 
3136,Rathayibacter toxicus 
3137,Leifsonia xyli subsp. xyli str. CTCB07 
3138,Leifsonia xyli subsp. cynodontis DSM 46306 
3140,Leifsonia xyli 
3145,Xylanimonas cellulosilytica DSM 15894 
3146,Isoptericola variabilis 225 
3148,Cellulomonas gilvus ATCC 13127 
3149,Cellulomonas flavigena DSM 20109 
3150,Cellulomonas fimi ATCC 484 
3154,Arsenicicoccus sp. oral taxon 190 
3163,Micromonospora aurantiaca ATCC 27029 
3164,Verrucosispora maris AB-18-032 
3165,Actinoplanes friuliensis DSM 7358 
3166,Actinoplanes sp. N902-109 
3167,Actinoplanes sp. SE50/110 
3168,Actinoplanes missouriensis 431
3173,Salinispora arenicola CNS-205 
3174,Salinispora tropica CNB-440 
3182,Actinobacteria bacterium IMCC26256 
3183,Ilumatobacter coccineus YM16-304
3184,Acidimicrobium ferrooxidans DSM 10331 
3189,Conexibacter woesei DSM 14684 
3190,Rubrobacter radiotolerans 
3191,Rubrobacter xylanophilus DSM 9941 
3197,Elusimicrobium minutum Pei191 
3198,uncultured Termite group 1 bacterium phylotype Rs-D17
3199,Endomicrobium proavitum 
3202,Chloracidobacterium thermophilum B 
3203,Candidatus Solibacter usitatus Ellin6076 
3204,Candidatus Koribacter versatilis Ellin345 
3205,Acidobacterium capsulatum ATCC 51196 
3206,Granulicella mallensis MP5ACTX8 
3207,Granulicella tundricola MP5ACTX9 
3208,Terriglobus roseus DSM 18391 
3209,Terriglobus saanensis SP1PR4 
3218,Thermodesulfovibrio yellowstonii DSM 11347 
3219,Leptospirillum ferrooxidans C2-3
3220,Leptospirillum ferriphilum ML-04 
3221,Leptospirillum sp. Group II  CF-1  
3224,Candidatus Nitrospira inopinata
3225,Nitrospira moscoviensis 
3227,Nitrospira defluvii
3232,Phycisphaera mikurensis NBRC 102666
3233,Isosphaera pallida ATCC 43644 
3234,Singulisphaera acidiphila DSM 18658 
3236,Pirellula staleyi DSM 6068 
3237,Rubinisphaera brasiliensis DSM 5305 
3238,Planctopirus limnophila DSM 3776 
3243,Waddlia chondrophila WSU 86-1044 
3244,Simkania negevensis Z 
3245,Protochlamydia naegleriophila 
3246,Parachlamydia acanthamoebae UV-7 
3250,Chlamydophila pneumoniae LPCoLN 
3251,Chlamydophila pneumoniae CWL029 
3252,Chlamydophila pneumoniae J138
3253,Chlamydophila pneumoniae TW-183 
3257,Chlamydia muridarum str. Nigg 
3258,Chlamydia trachomatis E/150 
3259,Chlamydia trachomatis L2c 
3260,Chlamydia trachomatis L3/404/LN 
3261,Chlamydia trachomatis L2b/UCH-1/proctitis
3265,Chlamydia trachomatis C/TW-3 
3266,Chlamydia trachomatis B/TZ1A828/OT 
3267,Chlamydia trachomatis A/363 
3269,Chlamydia trachomatis A/HAR-13 
3270,Chlamydia trachomatis A2497 
3273,Chlamydia trachomatis D/UW-3/CX 
3276,Chlamydia trachomatis
3280,Chlamydia pecorum W73 
3281,Chlamydophila pecorum E58 
3282,Chlamydia pecorum PV3056/3 
3286,Chlamydia gallinacea 08-1274/3 
3287,Chlamydia avium 10DC88 
3289,Chlamydia psittaci NJ1 
3290,Chlamydia psittaci GR9 
3291,Chlamydia psittaci WS/RT/E30 
3293,Chlamydia psittaci WC 
3295,Chlamydia felis Fe/C-56
3296,Chlamydophila caviae GPIC
3298,Chlamydia abortus S26/3
3300,Chlamydia psittaci M56 
3301,Chlamydia psittaci CP3 
3302,Chlamydia psittaci MN 
3305,Chlamydia psittaci VS225 
3306,Chlamydia psittaci 6BC 
3316,Verrucomicrobia bacterium L21-Fru-AB 
3317,Opitutaceae bacterium TAV5 
3318,Verrucomicrobia bacterium IMCC26134 
3319,Opitutus terrae PB90-1 
3322,Coraliomargarita akajimensis DSM 45221 
3324,Methylacidiphilum fumariolicum SolV
3325,Methylacidiphilum infernorum V4 
3327,Candidatus Xiphinematobacter sp. Idaho Grape 
3328,Akkermansia muciniphila ATCC BAA-835 
3336,candidate division SR1 bacterium RAAC1 SR1 1 
3337,Fimbriimonas ginsengisoli Gsoil 348 
3343,Nautilia profundicola AmH 
3344,Nitratiruptor sp. SB155-2
3345,Nitratifractor salsuginis DSM 16511 
3346,Sulfurovum sp. NBC37-1
3347,Sulfurovum lithotrophicum 
3349,Sulfuricurvum kujiense DSM 16994 
3350,Sulfurimonas autotrophica DSM 16294 
3351,Sulfurimonas denitrificans DSM 1251 
3354,Arcobacter nitrofigilis DSM 7299 
3355,Arcobacter sp. L
3357,Arcobacter butzleri RM4018 
3359,Sulfurospirillum cavolei 
3360,Sulfurospirillum deleyianum DSM 6946 
3361,Sulfurospirillum barnesii SES-3 
3362,Sulfurospirillum multivorans DSM 12446 
3366,Campylobacter ureolyticus RIGS 9880 
3367,Campylobacter hominis ATCC BAA-381 
3369,Campylobacter gracilis 
3371,Campylobacter concisus 13826 
3372,Campylobacter concisus 
3374,Campylobacter curvus 525.92 
3377,Campylobacter fetus subsp. fetus 04/554 
3378,Campylobacter fetus subsp. fetus 82-40 
3380,Campylobacter iguaniorum 
3381,Campylobacter iguaniorum 
3383,Campylobacter hyointestinalis subsp. lawsonii CCUG 27631 
3384,Campylobacter coli RM1875 
3385,Campylobacter jejuni subsp. jejuni M1 
3386,Campylobacter jejuni subsp. jejuni 
3387,Campylobacter jejuni subsp. jejuni 
3388,Campylobacter jejuni 4031 
3389,Campylobacter jejuni subsp. jejuni 81116 
3392,Campylobacter jejuni subsp. jejuni 81-176 
3396,Campylobacter jejuni subsp. jejuni NCTC 11168   ATCC 700819 
3398,Campylobacter subantarcticus LMG 24377 
3399,Campylobacter insulaenigrae NCTC 12927 
3400,Campylobacter subantarcticus LMG 24374 
3402,Campylobacter lari RM2100 
3403,Campylobacter volucris LMG 24379 
3405,Campylobacter peloridis LMG 23910 
3406,Campylobacter sp. RM16704 
3410,Campylobacter lari NCTC 11845 
3413,Campylobacter lari RM16712 
3414,Campylobacter lari 
3415,Campylobacter lari subsp. concheus LMG 11760 
3420,Campylobacter jejuni 
3421,Campylobacter jejuni subsp. doylei 269.97 
3423,Campylobacter jejuni subsp. jejuni IA3902
3426,Campylobacter coli CVM N29710 
3428,@GCF 000302555.5 Campylobacter jejuni subsp. jejuni PT14 
3433,Campylobacter hyointestinalis subsp. hyointestinalis LMG 9260 
3435,Campylobacter fetus subsp. testudinum 03-427 
3441,Helicobacter typhlonius
3442,Helicobacter cinaedi CCUG 18818   ATCC BAA-847
3443,Helicobacter cinaedi PAGU611
3446,Helicobacter hepaticus ATCC 51449 
3448,Helicobacter cetorum MIT 00-7128 
3449,Helicobacter cetorum MIT 99-5656 
3451,Helicobacter acinonychis str. Sheeba 
3452,Helicobacter pylori P12 
3453,Helicobacter pylori 
3454,Helicobacter pylori 
3456,Helicobacter pylori 
3457,Helicobacter pylori HPAG1 
3458,Helicobacter pylori HUP-B14 
3459,Helicobacter pylori 
3460,@GCF 000392515.3 Helicobacter pylori UM037 
3461,Helicobacter pylori oki898 
3462,Helicobacter pylori 
3463,Helicobacter pylori oki422 
3465,Helicobacter pylori oki112 
3468,Helicobacter pylori B38 
3471,Helicobacter pylori 
3477,Helicobacter pylori 
3478,Helicobacter pylori OK113
3479,Helicobacter pylori F57
3480,Helicobacter pylori 
3482,Helicobacter pylori oki154 
3483,Helicobacter pylori oki673 
3485,@GCF 000392535.3 Helicobacter pylori UM066 
3486,Helicobacter pylori 
3487,Helicobacter pylori 
3491,Helicobacter pylori XZ274 
3493,Helicobacter pylori Aklavik86 
3494,Helicobacter pylori Shi112 
3495,Helicobacter pylori Shi169 
3496,Helicobacter pylori Sat464 
3499,Helicobacter pylori PeCan4 
3500,Helicobacter pylori Aklavik117 
3504,Helicobacter pylori Puno120 
3505,Helicobacter pylori Puno135 
3506,Helicobacter pylori 51 
3507,Helicobacter pylori 35A 
3508,Helicobacter pylori F30
3511,@GCF 000392455.3 Helicobacter pylori UM032 
3512,Helicobacter pylori F16
3513,Helicobacter pylori 
3516,Helicobacter pylori 83 
3518,Helicobacter pylori F32
3521,Helicobacter pylori 52 
3523,Helicobacter pylori Shi470 
3526,Helicobacter pylori Cuz20 
3527,Helicobacter pylori v225d 
3535,Helicobacter pylori BM012A 
3536,Helicobacter pylori India7 
3537,Helicobacter pylori G27 
3538,Helicobacter pylori 
3539,Helicobacter pylori B8 
3540,Helicobacter pylori J166 
3542,Helicobacter pylori SJM180 
3547,Helicobacter pylori Lithuania75 
3551,Helicobacter pylori 26695-1 
3552,Helicobacter pylori 26695-1CL 
3553,Helicobacter pylori 26695-1CH 
3555,Helicobacter pylori 
3558,Helicobacter pylori 26695 
3561,Helicobacter pylori SNT49 
3567,Helicobacter pylori PeCan18 
3568,Helicobacter pylori J99 
3569,Helicobacter pylori 908 
3570,Helicobacter pylori ELS37 
3571,Helicobacter pylori Gambia94/24 
3573,Helicobacter pylori NY40
3575,Helicobacter pylori 2017 
3581,Helicobacter pylori SouthAfrica7 
3582,Helicobacter pylori 
3583,Helicobacter pylori SouthAfrica20 
3588,Helicobacter felis ATCC 49179 
3591,Helicobacter mustelae 12198 
3600,Desulfurella acetivorans A63 
3601,Hippea maritima DSM 10411 
3604,Desulfomicrobium baculatum DSM 4028 
3605,Desulfovibrio alaskensis G20 
3606,Lawsonia intracellularis PHE/MN1-00 
3607,Desulfovibrio vulgaris str.  Miyazaki F  
3608,Desulfovibrio vulgaris DP4 
3609,Desulfovibrio vulgaris RCH1 
3612,Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774 
3613,Desulfovibrio fairfieldensis 
3618,Desulfovibrio aespoeensis Aspo-2 
3619,Desulfovibrio desulfuricans ND132 
3621,Desulfovibrio salexigens DSM 2638 
3623,Desulfovibrio africanus str. Walvis Bay 
3624,Desulfovibrio magneticus RS-1
3629,Desulfohalobium retbaense DSM 5692 
3632,Desulfurivibrio alkaliphilus AHT 2 
3633,Desulfobulbus propionicus DSM 2032 
3634,Desulfotalea psychrophila LSv54 
3635,Desulfocapsa sulfexigens DSM 10523 
3639,Halobacteriovorax marinus SJ 
3641,Syntrophus aciditrophicus SB 
3642,Desulfococcus oleovorans Hxd3 
3643,Desulfobacula toluolica Tol2 
3644,Desulfobacterium autotrophicum HRM2 
3646,Desulfatibacillum alkenivorans AK-01 
3650,Desulfobacca acetoxidans DSM 11109 
3651,Syntrophobacter fumaroxidans MPOB 
3652,Desulfarculus baarsii DSM 2075 
3655,Desulfomonile tiedjei DSM 6799 
3659,Pelobacter carbinolicus DSM 2380 
3660,Geoalkalibacter subterraneus 
3661,Desulfuromonas sp. WTL 
3664,Geobacter pickeringii 
3665,Geobacter bemidjiensis Bem 
3666,Geobacter sp. M21 
3668,Geobacter sp. M18 
3670,Geobacter daltonii FRC-32 
3671,Geobacter uraniireducens Rf4 
3674,Geobacter lovleyi SZ 
3676,Pelobacter propionicus DSM 2379 
3678,Geobacter metallireducens GS-15 
3679,Geobacter sulfurreducens PCA 
3685,Haliangium ochraceum DSM 14365 
3686,Sandaracinus amylolyticus 
3687,Chondromyces crocatus 
3688,Sorangium cellulosum So0157-2 
3689,Sorangium cellulosum So ce56 
3694,Anaeromyxobacter sp. Fw109-5 
3695,Anaeromyxobacter sp. K 
3696,Anaeromyxobacter dehalogenans 2CP-1 
3697,Anaeromyxobacter dehalogenans 2CP-C 
3701,Vulgatibacter incomptus 
3702,Corallococcus coralloides DSM 2259 
3703,Myxococcus stipitatus DSM 14675 
3704,Myxococcus fulvus 124B02 
3706,Myxococcus xanthus DK 1622 
3707,Myxococcus fulvus HW-1 
3709,@GCF 000280925.3 Myxococcus hansupus 
3713,Archangium gephyra 
3715,Stigmatella aurantiaca DW4/3-1 
3723,Acidithiobacillus caldus SM-1 
3724,Acidithiobacillus caldus ATCC 51756 
3726,Acidithiobacillus ferrooxidans ATCC 53993 
3727,Acidithiobacillus ferrivorans SS3 
3730,Nitrosococcus halophilus Nc 4 
3731,Nitrosococcus watsonii C-113 
3732,Nitrosococcus oceani ATCC 19707 
3735,Ectothiorhodospira sp. BSL-9 
3736,Thioalkalivibrio sulfidiphilus HL-EbGr7 
3737,Thioalkalivibrio versutus 
3738,Thioalkalivibrio sp. K90mix 
3740,Thioalkalivibrio paradoxus ARh 1 
3741,Thioalkalivibrio nitratireducens DSM 14787 
3746,Dyella thiooxydans 
3747,Frateuria aurantia DSM 6220 
3749,Dyella jiangningensis 
3750,Rhodanobacter denitrificans 
3751,Dyella japonica A8 
3755,Xylella fastidiosa M12 
3756,Xylella fastidiosa Temecula1 
3757,Xylella fastidiosa MUL0034 
3759,Xylella fastidiosa 9a5c
3762,Xylella fastidiosa subsp. sandyi Ann-1 
3764,Pseudoxanthomonas suwonensis 11-1 
3765,Pseudoxanthomonas suwonensis 
3767,Xanthomonas oryzae pv. oryzae KACC 10331
3768,@GCF 000168315.3 Xanthomonas oryzae pv. oryzicola BLS256
3769,Xanthomonas oryzae pv. oryzae 
3772,Xanthomonas fuscans subsp. fuscans 
3773,Xanthomonas axonopodis pv. citri str. 306 
3774,Xanthomonas citri subsp. citri 
3778,Xanthomonas campestris pv. campestris str. ATCC 33913 
3779,Xanthomonas campestris pv. raphani 756C
3782,Xanthomonas sacchari 
3783,Xanthomonas translucens pv. undulosa 
3784,Xanthomonas albilineans GPE PC73 
3787,@GCF 000233915.3 Pseudoxanthomonas spadix BD-a59 
3789,Stenotrophomonas maltophilia K279a
3790,Stenotrophomonas maltophilia D457 
3791,Stenotrophomonas maltophilia 
3792,Stenotrophomonas maltophilia JV3 
3795,Stenotrophomonas maltophilia 
3798,Stenotrophomonas maltophilia R551-3 
3800,Stenotrophomonas acidaminiphila 
3801,Stenotrophomonas sp. KCTC 12332 
3807,Lysobacter antibioticus 
3808,Lysobacter gummosus 
3809,Lysobacter capsici 
3815,Halothiobacillus neapolitanus c2 
3816,Janthinobacterium sp. B9-8 
3817,Laribacter hongkongensis HLHK9 
3818,Snodgrassella alvi wkB2 
3819,Kingella kingae 
3820,Neisseria weaveri 
3821,Neisseria lactamica 020-06 
3822,Neisseria meningitidis WUE 2594 
3823,Neisseria meningitidis MC58 
3824,Neisseria meningitidis 053442 
3825,Neisseria meningitidis G2136 
3826,Neisseria meningitidis FAM18
3828,Neisseria meningitidis alpha710 
3829,Neisseria gonorrhoeae NCCP11945 
3830,Neisseria gonorrhoeae MS11 
3831,Neisseria gonorrhoeae 
3833,Neisseria gonorrhoeae FA 1090 
3837,Neisseria meningitidis M04-240196 
3840,Neisseria meningitidis M0579 
3842,Neisseria meningitidis M01-240149 
3844,Neisseria meningitidis NZ-05/33 
3846,Neisseria meningitidis alpha14 
3850,Neisseria meningitidis M01-240355 
3852,Neisseria meningitidis Z2491
3855,Neisseria meningitidis 8013 
3859,Neisseria elongata subsp. glycolytica ATCC 29315 
3863,Chromobacterium violaceum ATCC 12472 
3864,Pseudogulbenkiania sp. NH8B
3868,Dechloromonas aromatica RCB 
3869,Candidatus Accumulibacter phosphatis clade IIA str. UW-1 
3871,Dechlorosoma suillum PS 
3873,Azoarcus sp. BH72 
3874,Aromatoleum aromaticum EbN1 
3875,Azoarcus sp. KH32C
3876,Azoarcus sp. CIB 
3880,Thauera humireducens 
3881,Thauera sp. MZ1T 
3885,Sulfuritalea hydrogenivorans sk43H
3886,Sideroxydans lithotrophicus ES-1 
3887,Gallionella capsiferriformans ES-2 
3889,Sulfuricella denitrificans skB26
3890,Candidatus Methylopumilus turicensis 
3891,Methylotenera mobilis JLW8 
3892,Methylotenera versatilis 301 
3894,Methylobacillus flagellatus KT 
3895,Methylovorus glucosetrophus SIP3-4 
3897,Methylophilus sp. TWE2 
3900,Candidatus Methylopumilus planktonicus 
3905,Nitrosospira multiformis ATCC 25196 
3906,Nitrosospira briensis C-128 
3908,Nitrosomonas sp. Is79A3 
3909,Nitrosomonas ureae 
3910,Nitrosomonas sp. AL212 
3913,Nitrosomonas europaea ATCC 19718 
3914,Nitrosomonas eutropha C91 
3916,Nitrosomonas communis 
3922,Collimonas arenae 
3923,Collimonas fungivorans 
3924,Collimonas pratensis 
3926,Collimonas fungivorans Ter331 
3927,Collimonas pratensis 
3930,Collimonas arenae 
3933,Massilia sp. NR 4-1 
3934,Massilia sp. WG5 
3936,Janthinobacterium agaricidamnosum NBRC 102515   DSM 9628 
3938,Janthinobacterium sp. Marseille 
3939,Herminiimonas arsenicoxydans
3943,Herbaspirillum seropedicae SmR1 
3944,Herbaspirillum seropedicae 
3946,Herbaspirillum rubrisubalbicans M1 
3948,Herbaspirillum hiltneri N3 
3950,Candidatus Profftella armatura 
3953,Ralstonia solanacearum Po82 
3954,Ralstonia solanacearum 
3956,Ralstonia solanacearum GMI1000 
3958,Ralstonia solanacearum PSI07 
3960,Ralstonia mannitolilytica 
3961,Ralstonia mannitolilytica 
3963,Ralstonia pickettii 12J 
3966,Ralstonia eutropha H16 
3967,Cupriavidus necator N-1 
3968,Ralstonia pickettii DTP0602 
3971,Ralstonia eutropha JMP134 
3972,Cupriavidus basilensis 
3974,Cupriavidus gilardii CR3 
3975,Cupriavidus metallidurans CH34 
3979,Polynucleobacter necessarius subsp. necessarius STIR1 
3980,Polynucleobacter asymbioticus QLW-P1DMWA-1 
3981,Polynucleobacter asymbioticus 
3982,beta proteobacterium CB 
3989,Pandoraea thiooxydans 
3990,Pandoraea pulmonicola 
3991,Pandoraea sputorum 
3992,Pandoraea oxalativorans 
3994,Pandoraea vervacti 
3995,Pandoraea faecigallinarum 
3998,@GCF 000604065.3 Pandoraea pnomenusa 
3999,Pandoraea norimbergensis 
4000,Pandoraea apista 
4002,Pandoraea pnomenusa 3kgm 
4006,Pandoraea pnomenusa
4010,Burkholderia sp. PAMC 26561 
4011,Paraburkholderia fungorum 
4012,Paraburkholderia phytofirmans PsJN 
4013,Paraburkholderia xenovorans LB400 
4014,Burkholderia sp. OLGA172 
4016,Burkholderia sp. CCGE1002 
4017,Paraburkholderia phenoliruptrix BR3459a 
4018,Burkholderia sp. CCGE1003 
4019,@GCF 000176935.3 Burkholderia sp. CCGE1001 
4023,Burkholderia sp. HB1 
4028,Paraburkholderia phymatum STM815 
4029,Paraburkholderia caribensis MBA4 
4030,Paraburkholderia caribensis 
4032,Paraburkholderia caribensis 
4037,Burkholderia sp. RPE67 
4038,Burkholderia sp. YI23 
4040,Burkholderia sp. RPE64
4042,Paraburkholderia rhizoxinica HKI 454 
4043,Burkholderia ubonensis MSMB22 
4044,Burkholderia sp. Bp5365
